Time,Value,Temperature,Reading
0.0,0,86.3F,9.1
0.05,0,86.3F,9.1
0.1,0,86.3F,9.1
0.15,1,86.3F,9.1
0.2,-1,86.4F,9.1
0.25,2,86.3F,9.1
0.3,0,86.3F,9.1
0.35,0,86.4F,9.1
0.4,2,86.3F,9.1
0.45,0,86.4F,9.1
0.5,-1,86.4F,9.1
0.55,4,86.3F,9.1
0.6,9,86.4F,9.1
0.65,10,86.4F,9.1
0.7,14,86.4F,9.1
0.75,17,86.4F,9.1
0.8,22,86.4F,9.1
0.85,31,86.4F,9.1
0.9,41,86.4F,9.1
0.95,48,86.4F,9.1
1.0,59,86.4F,9.1
1.05,70,86.4F,9.1
1.1,80,86.4F,9.1
1.15,91,86.4F,9.1
1.2,105,86.4F,9.1
1.25,119,86.4F,9.1
1.3,138,86.4F,9.1
1.35,157,86.4F,9.1
1.4,174,86.4F,9.1
1.45,192,86.4F,9.1
1.5,213,86.4F,9.1
1.55,232,86.4F,9.1
1.6,255,86.3F,9.1
1.65,278,86.4F,9.1
1.7,300,86.4F,9.1
1.75,325,86.4F,9.1
1.8,354,86.4F,9.1
1.85,382,86.4F,9.1
1.9,410,86.4F,9.1
1.95,437,86.4F,9.1
2.0,472,86.3F,9.1
2.05,502,86.4F,9.1
2.1,536,86.4F,9.1
2.15,571,86.4F,9.1
2.2,600,86.4F,9.1
2.25,640,86.4F,9.1
2.3,674,86.4F,9.1
2.35,712,86.4F,9.1
2.4,730,86.4F,9.1
2.45,772,86.4F,9.1
2.5,869,86.4F,9.1
2.55,922,86.4F,9.1
2.6,987,86.4F,9.1
2.65,1024,86.3F,9.1
2.7,1088,86.4F,9.1
2.75,1146,86.4F,9.1
2.8,1189,86.4F,9.1
2.85,1240,86.4F,9.1
2.9,1306,86.4F,9.1
2.95,1362,86.4F,9.1
3.0,1408,86.4F,9.1
3.05,1447,86.4F,9.1
3.1,1506,86.4F,9.1
3.15,1559,86.4F,9.1
3.2,1607,86.4F,9.1
3.25,1657,86.4F,9.1
3.3,1701,86.4F,9.1
