T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
0.00,8.00,1.60,32.00,0,0,0,0,0,0
0.05,14.00,4.08,49.60,0,0,0,0,0,0
0.10,30.00,9.26,103.68,0,0,0,0,0,0
0.15,43.00,16.01,134.94,0,0,0,0,0,0
0.20,60.00,24.81,175.96,0,0,0,0,0,0
0.25,76.00,35.05,204.76,0,0,0,0,0,0
0.30,97.00,47.44,247.81,0,0,0,0,0,0
0.35,120.00,61.95,290.25,0,0,0,0,0,0
0.40,114.00,72.36,208.20,0,0,0,0,0,0
0.45,133.00,84.49,242.56,0,0,0,0,0,0
0.50,152.00,97.99,270.05,0,0,0,0,0,0
0.55,173.00,112.99,300.04,0,0,0,0,0,0
0.60,193.00,128.99,320.03,0,0,0,0,0,0
0.65,225.00,148.20,384.02,225,0,0,0,0,0
0.70,249.00,168.36,403.22,0,0,0,0,0,0
0.75,270.00,188.68,406.58,0,0,0,0,0,0
0.80,299.00,210.75,441.26,0,0,0,0,0,0
0.85,324.00,233.40,453.01,0,0,0,0,0,0
0.90,352.00,257.12,474.41,0,0,0,0,0,0
0.95,382.00,282.09,499.53,0,0,0,0,0,0
1.00,412.00,308.08,519.62,0,0,0,0,0,0
1.05,444.00,335.26,543.70,0,0,0,0,0,0
1.10,478.00,363.81,570.96,0,0,0,0,0,0
1.15,513.00,393.65,596.77,0,0,0,0,0,0
1.20,548.00,424.52,617.41,0,0,0,0,0,0
1.25,578.00,455.21,613.93,0,0,0,0,0,0
1.30,618.00,487.77,651.14,0,0,0,0,0,0
1.35,651.00,520.42,652.92,0,0,0,0,0,0
1.40,698.00,555.93,710.33,0,0,0,0,0,0
1.45,714.00,587.55,632.27,0,0,0,0,0,0
1.50,775.00,625.04,749.81,0,0,0,0,0,0
1.55,859.00,671.83,935.85,0,0,0,0,0,0
1.60,907.00,718.86,940.68,0,0,0,0,0,0
1.65,979.00,770.89,1040.54,0,0,0,0,0,0
1.70,1018.00,820.31,988.44,0,0,0,0,0,0
1.75,1081.00,872.45,1042.75,0,0,0,0,0,0
1.80,1136.00,925.16,1054.20,0,0,0,0,0,0
1.85,1178.00,975.73,1011.36,0,0,0,0,0,0
