T,Alt,FAlt,FVeloc,LDA,Apogee,N-O,Drogue,Main,AUX
0.00,7.00,1.40,28.00,0,0,0,0,0,0
0.05,13.00,3.72,46.40,0,0,0,0,0,0
0.10,19.00,6.78,61.12,0,0,0,0,0,0
0.15,25.00,10.42,72.90,0,0,0,0,0,0
0.20,37.00,15.74,106.32,0,0,0,0,0,0
0.25,57.00,23.99,165.05,0,0,0,0,0,0
0.30,78.00,34.79,216.04,0,0,0,0,0,0
0.35,132.00,54.23,388.83,0,0,0,0,0,0
0.40,200.00,83.39,583.07,0,0,0,0,0,0
0.45,261.00,118.91,710.45,261,0,0,0,0,0
0.50,292.00,153.53,692.36,0,0,0,0,0,0
0.55,321.00,187.02,669.89,0,0,0,0,0,0
0.60,364.00,222.42,707.91,0,0,0,0,0,0
0.65,395.00,256.93,690.33,0,0,0,0,0,0
0.70,425.00,290.55,672.26,0,0,0,0,0,0
0.75,456.00,323.64,661.81,0,0,0,0,0,0
0.80,491.00,357.11,669.45,0,0,0,0,0,0
0.85,520.00,389.69,651.56,0,0,0,0,0,0
0.90,546.00,420.95,625.25,0,0,0,0,0,0
0.95,588.00,454.36,668.20,0,0,0,0,0,0
1.00,604.00,484.29,598.56,0,0,0,0,0,0
1.05,624.00,512.23,558.85,0,0,0,0,0,0
1.10,657.00,541.18,579.08,0,0,0,0,0,0
1.15,727.00,578.35,743.26,0,0,0,0,0,0
1.20,778.00,618.28,798.61,0,0,0,0,0,0
1.25,811.00,656.82,770.89,0,0,0,0,0,0
1.30,842.00,693.86,740.71,0,0,0,0,0,0
1.35,871.00,729.29,708.57,0,0,0,0,0,0
1.40,899.00,763.23,678.85,0,0,0,0,0,0
1.45,953.00,801.18,759.08,0,0,0,0,0,0
1.50,1009.00,842.75,831.27,0,0,0,0,0,0
1.55,1096.00,893.40,1013.01,0,0,0,0,0,0
1.60,1165.00,947.72,1086.41,0,0,0,0,0,0
1.65,1198.00,997.77,1001.13,0,0,0,0,0,0
1.70,1227.00,1043.62,916.90,0,0,0,0,0,0
1.75,1254.00,1085.70,841.52,0,0,0,0,0,0
1.80,1284.00,1125.36,793.22,0,0,0,0,0,0
1.85,1309.00,1162.09,734.58,0,0,0,0,0,0
1.90,1330.00,1195.67,671.66,0,0,0,0,0,0
1.95,1360.00,1228.53,657.33,0,0,0,0,0,0
2.00,1393.00,1261.43,657.86,0,0,0,0,0,0
2.05,1425.00,1294.14,654.29,0,0,0,0,0,0
2.10,1445.00,1324.31,603.43,0,0,0,0,0,0
2.15,1475.00,1354.45,602.74,0,0,0,0,0,0
2.20,1504.00,1384.36,598.20,0,0,0,0,0,0
2.25,1529.00,1413.29,578.56,0,0,0,0,0,0
2.30,1562.00,1443.03,594.85,0,0,0,0,0,0
2.35,1616.00,1477.62,691.88,0,0,0,0,0,0
2.40,1675.00,1517.10,789.50,0,0,0,0,0,0
2.45,1734.00,1560.48,867.60,0,0,0,0,0,0
2.50,1756.00,1599.58,782.08,0,0,0,0,0,0
2.55,1780.00,1635.67,721.67,0,0,0,0,0,0
2.60,1811.00,1670.73,701.33,0,0,0,0,0,0
2.65,1850.00,1706.59,717.07,0,0,0,0,0,0
2.70,1907.00,1746.67,801.65,0,0,0,0,0,0
2.75,1933.00,1783.94,745.32,0,0,0,0,0,0
2.80,1954.00,1817.95,680.26,0,0,0,0,0,0
2.85,1978.00,1849.96,640.21,0,0,0,0,0,0
2.90,2005.00,1880.97,620.17,0,0,0,0,0,0
2.95,2030.00,1910.77,596.13,0,0,0,0,0,0
3.00,2059.00,1940.42,592.91,0,0,0,0,0,0
3.05,2104.00,1973.14,654.32,0,0,0,0,0,0
3.10,2151.00,2008.71,711.46,0,0,0,0,0,0
3.15,2176.00,2042.17,669.17,0,0,0,0,0,0
3.20,2222.00,2078.13,719.34,0,0,0,0,0,0
3.25,2271.00,2116.71,771.46,0,0,0,0,0,0
3.30,2318.00,2156.97,805.18,0,0,0,0,0,0
3.35,2370.00,2199.57,852.14,0,0,0,0,0,0
3.40,2390.00,2237.66,761.71,0,0,0,0,0,0
3.45,2413.00,2272.73,701.37,0,0,0,0,0,0
3.50,2433.00,2304.78,641.09,0,0,0,0,0,0
3.55,2455.00,2334.82,600.88,0,0,0,0,0,0
3.60,2479.00,2363.66,576.70,0,0,0,0,0,0
3.65,2505.00,2391.93,565.36,0,0,0,0,0,0
3.70,2536.00,2420.74,576.29,0,0,0,0,0,0
3.75,2580.00,2452.59,637.03,0,0,0,0,0,0
3.80,2609.00,2483.88,625.62,0,0,0,0,0,0
3.85,2632.00,2513.50,592.50,0,0,0,0,0,0
3.90,2656.00,2542.00,570.00,0,0,0,0,0,0
3.95,2674.00,2568.40,528.00,0,0,0,0,0,0
4.00,2694.00,2593.52,502.40,0,0,0,0,0,0
4.05,2735.00,2621.82,565.92,0,0,0,0,0,0
4.10,2775.00,2652.45,612.73,0,0,0,0,0,0
4.15,2793.00,2680.56,562.19,0,0,0,0,0,0
