Acc,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6,9101,1,-0.14,3,   boost,28.63,86453,1318.81,22.03,37.91,34.7,9.26,9.23,9.26
6,9101,1,-0.13,3,   boost,30.14,86451,1319,22.22,38.48,34.7,9.26,9.25,9.26
6,9101,1,-0.12,3,   boost,31.7,86446,1319.48,22.69,39.05,34.7,9.26,9.25,9.26
6,9101,1,-0.11,3,   boost,33.31,86428,1321.18,24.4,39.63,34.7,9.26,9.25,9.26
6,9101,1,-0.1,3,   boost,34.97,86431,1320.9,24.11,40.22,34.7,9.26,9.25,9.26
6,9101,1,-0.09,3,   boost,36.68,86433,1320.71,23.92,40.82,34.7,9.26,9.25,9.26
6,9101,1,-0.08,3,   boost,38.43,86412,1322.7,25.91,41.42,34.7,9.26,9.25,9.26
6,9101,1,-0.07,3,   boost,40.22,86407,1323.17,26.39,42.03,34.7,9.26,9.25,9.26
6,9101,1,-0.06,3,   boost,42.05,86403,1323.55,26.77,42.65,34.7,9.26,9.23,9.26
6,9101,1,-0.05,3,   boost,43.91,86391,1324.69,27.9,43.28,34.7,9.26,9.25,9.26
6,9101,1,-0.04,3,   boost,45.79,86387,1325.06,28.28,43.91,34.7,9.26,9.23,9.26
6,9101,1,-0.03,3,   boost,47.69,86393,1324.5,27.71,44.55,34.7,9.26,9.23,9.26
6,9101,1,-0.02,3,   boost,49.6,86374,1326.3,29.51,45.2,34.7,9.26,9.25,9.26
6,9101,1,-0.01,3,   boost,51.51,86369,1326.77,29.99,45.85,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0,3,   boost,53.41,86365,1327.15,30.37,46.51,34.7,9.26,9.25,9.26
6,9101,1,0.01,3,   boost,55.3,86370,1326.67,29.89,47.17,34.6,9.26,9.25,9.26
6,9101,1,0.02,3,   boost,57.16,86362,1327.43,30.65,47.84,34.7,9.26,9.25,9.26
6,9101,1,0.03,3,   boost,58.99,86347,1328.85,32.07,48.52,34.7,9.26,9.25,9.26
6,9101,1,0.04,3,   boost,60.77,86349,1328.66,31.88,49.21,34.7,9.26,9.25,9.26
6,9101,1,0.05,3,   boost,62.5,86336,1329.9,33.11,49.9,34.7,9.26,9.25,9.26
6,9101,1,0.06,3,   boost,64.17,86337,1329.8,33.02,50.59,34.7,9.26,9.25,9.26
6,9101,1,0.07,3,   boost,65.77,86332,1330.27,33.49,51.3,34.7,9.26,9.23,9.26
6,9101,1,0.08,3,   boost,67.3,86331,1330.37,33.59,52,34.7,9.25,9.25,9.26
6,9101,1,0.09,3,   boost,68.74,86320,1331.41,34.63,52.72,34.7,9.26,9.25,9.28
6,9101,1,0.1,3,   boost,70.1,86319,1331.51,34.72,53.44,34.7,9.26,9.23,9.26
6,9101,1,0.11,3,   boost,71.36,86316,1331.79,35.01,54.17,34.7,9.26,9.2,9.23
6,9101,1,0.12,3,   boost,72.54,86316,1331.79,35.01,54.9,34.7,9.26,9.22,9.26
6,9101,1,0.13,3,   boost,73.62,86301,1333.21,36.43,55.64,34.6,9.26,9.25,9.26
6,9101,1,0.14,3,   boost,74.6,86295,1333.78,37,56.38,34.6,9.26,9.23,9.26
6,9101,1,0.15,3,   boost,75.49,86290,1334.26,37.47,57.13,34.6,9.26,9.23,9.26
6,9101,1,0.16,3,   boost,76.29,86284,1334.82,38.04,57.89,34.6,9.26,9.25,9.26
6,9101,1,0.17,3,   boost,77.01,86285,1334.73,37.95,58.65,34.6,9.26,9.25,9.25
6,9101,1,0.18,3,   boost,77.64,86273,1335.87,39.08,59.42,34.6,9.26,9.25,9.26
6,9101,1,0.19,3,   boost,78.2,86267,1336.44,39.65,60.2,34.6,9.26,9.25,9.26
6,9101,1,0.2,3,   boost,78.7,86259,1337.2,40.41,60.98,34.6,9.26,9.25,9.26
6,9101,1,0.21,3,   boost,79.13,86256,1337.48,40.7,61.76,34.6,9.26,9.23,9.26
6,9101,1,0.22,3,   boost,79.51,86253,1337.76,40.98,62.55,34.6,9.26,9.2,9.23
6,9101,1,0.23,3,   boost,79.84,86253,1337.76,40.98,63.35,34.6,9.26,9.22,9.26
6,9101,1,0.24,3,   boost,80.13,86251,1337.95,41.17,64.15,34.6,9.26,9.25,9.26
