time,state,state_name,acceleration,altitude,height,speed
5.5,5,   coast,-18.27,2370.47,1073.69,221.86
5.5,5,   coast,-18.27,2370.47,1073.69,221.86
5.51,5,   coast,-18.24,2370.47,1073.69,221.68
5.52,5,   coast,-18.22,2372.47,1075.69,221.5
5.53,5,   coast,-18.2,2376.05,1079.27,221.32
5.54,5,   coast,-18.17,2380.05,1083.26,221.14
5.55,5,   coast,-18.15,2382.36,1085.58,220.97
5.56,5,   coast,-18.12,2385.21,1088.42,220.79
5.57,5,   coast,-18.1,2388.47,1091.69,220.62
5.58,5,   coast,-18.07,2393.11,1096.33,220.44
5.59,5,   coast,-18.04,2397.22,1100.44,220.27
5.6,5,   coast,-18.01,2400.28,1103.5,220.09
5.61,5,   coast,-17.98,2404.19,1107.4,219.91
5.62,5,   coast,-17.95,2404.19,1107.4,219.73
5.63,5,   coast,-17.92,2409.04,1112.26,219.56
5.64,5,   coast,-17.89,2414.96,1118.17,219.38
5.65,5,   coast,-17.86,2416.86,1120.08,219.2
5.66,5,   coast,-17.83,2420.03,1123.25,219.02
5.67,5,   coast,-17.8,2420.35,1123.56,218.83
5.68,5,   coast,-17.76,2422.46,1125.68,218.65
5.69,5,   coast,-17.73,2424.47,1127.69,218.47
5.7,5,   coast,-17.7,2427.85,1131.07,218.29
5.71,5,   coast,-17.66,2429.34,1132.55,218.11
5.72,5,   coast,-17.63,2431.77,1134.99,217.92
5.73,5,   coast,-17.6,2431.77,1134.99,217.74
5.74,5,   coast,-17.56,2435.9,1139.12,217.56
5.75,5,   coast,-17.53,2442.36,1145.58,217.38
5.76,5,   coast,-17.49,2445.75,1148.97,217.19
5.77,5,   coast,-17.46,2448.19,1151.4,217.01
5.78,5,   coast,-17.43,2448.72,1151.93,216.83
5.79,5,   coast,-17.39,2451.26,1154.48,216.65
5.8,5,   coast,-17.36,2453.06,1156.28,216.48
5.81,5,   coast,-17.33,2454.44,1157.66,216.3
5.82,5,   coast,-17.29,2455.08,1158.3,216.12
5.83,5,   coast,-17.26,2456.78,1159.99,215.95
5.84,5,   coast,-17.23,2456.78,1159.99,215.77
5.85,5,   coast,-17.19,2459.64,1162.86,215.6
5.86,5,   coast,-17.16,2460.17,1163.39,215.42
5.87,5,   coast,-17.13,2460.49,1163.71,215.25
5.88,5,   coast,-17.1,2461.98,1165.2,215.08
5.89,5,   coast,-17.07,2462.83,1166.04,214.91
5.9,5,   coast,-17.04,2462.83,1166.04,214.74
5.91,5,   coast,-17.01,2461.77,1164.98,214.58
5.92,5,   coast,-16.98,2462.3,1165.51,214.41
5.93,5,   coast,-16.95,2464.31,1167.53,214.24
5.94,5,   coast,-16.92,2465.27,1168.49,214.08
5.95,5,   coast,-16.9,2465.27,1168.49,213.92
5.96,5,   coast,-16.87,2467.5,1170.72,213.75
5.97,5,   coast,-16.84,2471.43,1174.65,213.59
5.98,5,   coast,-16.82,2474.73,1177.94,213.43
5.99,5,   coast,-16.79,2478.02,1181.24,213.27
6,5,   coast,-16.77,2479.4,1182.62,213.11
6.01,5,   coast,-16.74,2484.08,1187.3,212.95
6.02,5,   coast,-16.72,2487.6,1190.81,212.79
6.03,5,   coast,-16.7,2491.85,1195.07,212.63
6.04,5,   coast,-16.67,2494.2,1197.41,212.47
6.05,5,   coast,-16.65,2497.71,1200.93,212.31
6.06,5,   coast,-16.63,2497.71,1200.93,212.15
6.07,5,   coast,-16.61,2502.19,1205.41,211.99
6.08,5,   coast,-16.59,2507.09,1210.31,211.83
6.09,5,   coast,-16.57,2510.08,1213.3,211.67
6.1,5,   coast,-16.55,2511.36,1214.58,211.51
6.11,5,   coast,-16.53,2513.92,1217.14,211.35
6.12,5,   coast,-16.51,2517.02,1220.23,211.19
6.13,5,   coast,-16.49,2519.79,1223.01,211.03
6.14,5,   coast,-16.48,2520.65,1223.86,210.86
6.15,5,   coast,-16.46,2523.1,1226.32,210.69
6.16,5,   coast,-16.44,2526.41,1229.63,210.52
6.17,5,   coast,-16.42,2526.41,1229.63,210.35
6.18,5,   coast,-16.41,2529.41,1232.62,210.18
6.19,5,   coast,-16.39,2536.14,1239.36,210
6.2,5,   coast,-16.38,2538.07,1241.29,209.83
