Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages,,
0,5.47E-05,864.7,0,90.5, -,8.887592,,
0.05,9.312512,864.4,8.857142,90.5, -,8.887592,,
0.1,18.62948,864.1,17.71428,90.5, -,8.887592,,
0.15,31.05303,863.7,29.52381,90.5, -,8.887592,,
0.2,40.37421,863.4,38.38095,90.5, -,8.887592,,
0.25,46.59043,863.2,44.28571,90.5, -,8.887592,,
0.3,52.80781,863,50.19048,90.5, -,8.887592,,
0.35,65.24608,862.6,62.04762,90.5, -,8.887592,,
0.4,74.57689,862.3,70.95238,90.5, -,8.887592,,
0.45,80.79952,862.1,76.85714,90.5, -,8.887592,,
0.5,93.24641,861.7,88.71429,90.5, -,8.887592,,
0.55,108.813,861.2,103.5238,90.5, -,8.887592,,
0.6,124.3869,860.7,118.3333,90.5, -,8.887592,,
0.65,139.9682,860.2,133.1905,90.5, -,8.887592,,
0.7,155.5568,859.7,148.0476,90.5, -,8.887592,,
0.75,180.5134,858.9,171.8095,90.5, -,8.887592,,
0.8,196.1211,858.4,186.6667,90.5, -,8.887592,,
0.85,214.8612,857.8,204.5238,90.5, -,8.887592,,
0.9,230.4851,857.3,219.381,90.5, -,8.887592,,
0.95,255.4983,856.5,243.1905,90.5, -,8.887592,,
1,271.1414,856,258.0952,90.5, -,8.887592,,
1.05,289.9222,855.4,276,90.5, -,8.887592,,
1.1,308.7155,854.8,285.0476,90.5, -,8.887592,,
1.15,324.3838,854.3,291.0952,90.5, -,8.887592,,
1.2,340.0595,853.8,294.2381,90.5, -,8.887592,,
1.25,355.7427,853.3,300.3333,90.5, -,8.887592,,
1.3,377.712,852.6,315.3333,90.5, -,8.887592,,
1.35,412.2634,851.5,342.3333,90.5, -,8.887592,,
1.4,440.561,850.6,357.4286,90.5, -,8.887592,,
1.45,465.7337,849.8,372.4762,90.5, -,8.887592,,
1.5,484.6253,849.2,384.5714,90.5, -,8.887592,,
1.55,516.1367,848.2,402.7143,90.5, -,8.887592,,
1.6,544.5235,847.3,414.9524,90.5, -,8.887592,,
1.65,563.4603,846.7,418.1905,90.5, -,8.887592,,
1.7,579.2499,846.2,418.381,90.5, -,8.887592,,
1.75,607.691,845.3,430.619,90.5, -,8.887592,,
1.8,639.3201,844.3,437,90.5, -,8.887592,,
1.85,683.6507,842.9,464.381,90.5, -,8.887592,,
1.9,715.3528,841.9,476.7143,90.5, -,8.887592,,
1.95,737.5627,841.2,483,90.5, -,8.887592,,
2,753.4359,840.7,474.2857,90.5, -,8.887592,,
2.05,782.0276,839.8,486.619,90.5, -,8.887592,,
2.1,817.0051,838.7,502.0476,90.5, -,8.887592,,
2.15,848.8358,837.7,514.4762,90.5, -,8.887592,,
2.2,867.9501,837.1,517.7619,90.5, -,8.887592,,
2.25,887.0735,836.5,521,90.5, -,8.887592,,
2.3,906.2081,835.9,524.2857,90.5, -,8.887592,,
2.35,938.1251,834.9,533.7619,90.5, -,8.887592,,
2.4,970.0731,833.9,531.2857,90.5, -,8.887592,,
2.45,998.8536,833,531.7619,90.5, -,8.887592,,
2.5,1030.861,832,538.2857,90.5, -,8.887592,,
2.55,1069.311,830.8,556.9048,90.5, -,8.90704,,
2.6,1114.224,829.4,569.6667,90.5, -,8.90704,,
2.65,1159.201,828,585.4762,90.5, -,8.90704,,
2.7,1191.364,827,598.0476,90.5, -,8.90704,,
2.75,1230.003,825.8,619.8095,90.5, -,8.90704,,
2.8,1262.235,824.8,623.4286,90.5, -,8.90704,,
2.85,1291.271,823.9,620.9524,90.5, -,8.90704,,
2.9,1317.104,823.1,603.3333,90.5, -,8.90704,,
2.95,1346.189,822.2,600.8571,90.5, -,8.90704,,
3,1381.773,821.1,613.619,90.5, -,8.90704,,
3.05,1423.876,819.8,638.619,90.5, -,8.90704,,
3.1,1459.544,818.7,645.3333,90.5, -,8.90704,,
3.15,1501.746,817.4,652.1905,90.5, -,8.90704,,
3.2,1544.006,816.1,662.0952,90.5, -,8.90704,,
3.25,1586.317,814.8,684.1905,90.5, -,8.90704,,
3.3,1615.641,813.9,693.9048,90.5, -,8.90704,,
3.35,1658.048,812.6,716.0476,90.5, -,8.90704,,
3.4,1700.507,811.3,726.0952,90.5, -,8.90704,,
3.45,1729.933,810.4,723.7143,90.5, -,8.90704,,
3.5,1759.388,809.5,724.3333,90.5, -,8.90704,,
3.55,1805.259,808.1,737.5238,90.5, -,8.90704,,
3.6,1847.91,806.8,741.5238,90.5, -,8.90704,,
3.65,1893.903,805.4,742.5714,90.5, -,8.90704,,
3.7,1939.963,804,743.5714,90.5, -,8.90704,,
3.75,1979.495,802.8,750.619,90.5, -,8.90704,,
3.8,2009.173,801.9,742.0952,90.5, -,8.90704,,
3.85,2055.396,800.5,755.381,90.5, -,8.90704,,
3.9,2091.758,799.4,762.3333,90.5, -,8.90704,,
3.95,2128.163,798.3,772.381,90.5, -,8.90704,,
4,2161.293,797.3,776.2381,90.5, -,8.90704,,
4.05,2227.653,795.3,805.5238,90.5, -,8.90704,,
4.1,2284.166,793.6,819.2381,90.5, -,8.90704,,
4.15,2330.779,792.2,829.6667,90.5, -,8.90704,,
4.2,2377.459,790.8,833.9524,90.5, -,8.90704,,
4.25,2430.89,789.2,844.619,90.5, -,8.90704,,
4.3,2460.984,788.3,833,90.5, -,8.90704,,
4.35,2467.675,788.1,811.4762,90.5, -,8.90704,,
4.4,2487.756,787.5,790.2381,90.5, -,8.90704,,
4.45,2548.076,785.7,807.2381,90.5, -,8.90704,,
4.5,2605.148,784,833.5238,90.5, -,8.90704,,
4.55,2652.224,782.6,850.3333,90.5, -,8.887592,,
4.6,2695.998,781.3,848.3333,90.5, -,8.887592,,
4.65,2753.331,779.6,862.3333,90.5, -,8.887592,,
4.7,2780.345,778.8,844.2381,90.5, -,8.887592,,
4.75,2787.103,778.6,806.8095,90.5, -,8.887592,,
4.8,2807.382,778,788.4762,90.5, -,8.887592,,
4.85,2854.752,776.6,805.2857,90.5, -,8.887592,,
4.9,2915.757,774.8,819.381,90.5, -,8.887592,,
4.95,2970.08,773.2,836.4762,90.5, -,8.887592,,
5,3014.284,771.9,843.9048,90.5, -,8.887592,,
5.05,3068.774,770.3,864.2381,90.5, -,8.887592,,
5.1,3102.876,769.3,833.5238,90.5, -,8.887592,,
5.15,3109.701,769.1,786.1905,90.5, -,8.887592,,
5.2,3119.941,768.8,751.5714,90.5, -,8.887592,,
5.25,3160.932,767.6,746.1429,90.5, -,8.887592,,
5.3,3205.398,766.3,737.5714,90.5, -,8.887592,,
5.35,3263.639,764.6,764.381,90.5, -,8.887592,,
5.4,3308.246,763.3,800.4762,90.5, -,8.887592,,
5.45,3359.792,761.8,830.4286,90.5, -,8.887592,,
5.5,3404.532,760.5,815.619,90.5, -,8.887592,,
5.55,3428.649,759.8,784.2381,90.5, -,8.887592,,
5.6,3435.543,759.6,745.9524,90.5, -,8.887592,,
5.65,3456.232,759,724,90.5, -,8.887592,,
5.7,3490.745,758,702.2381,90.5, -,8.887592,,
5.75,3549.502,756.3,732.4762,90.5, -,8.887592,,
5.8,3604.899,754.7,778.8095,90.5, -,8.887592,,
5.85,3643.042,753.6,795.8095,90.5, -,8.887592,,
5.9,3684.7,752.4,790.381,90.5, -,8.887592,,
5.95,3722.937,751.3,768.7143,90.5, -,8.887592,,
6,3747.293,750.6,740.1905,90.5, -,8.887592,,
6.05,3761.217,750.2,711.3333,90.5, -,8.887592,,
6.1,3775.15,749.8,672.7143,90.5, -,8.887592,,
6.15,3816.981,748.6,680.0952,90.5, -,8.887592,,
6.2,3869.347,747.1,723.4762,90.5, -,8.887592,,
6.25,3918.297,745.7,760.3333,90.5, -,8.887592,,
6.3,3956.812,744.6,757.9524,90.5, -,8.887592,,
6.35,4005.895,743.2,762.381,90.5, -,8.887592,,
6.4,4037.49,742.3,737,90.5, -,8.887592,,
6.45,4055.055,741.8,711.2381,90.5, -,8.887592,,
